start_node,end_node,pts,length,mean_width,median_width,mean_depth,median_depth,mean_r2,median_r2,considered_trans,water_filled
1080,1078,"[[582795.0, 7701391.0], [582795.0, 7701392.0], [582795.0, 7701393.0], [582795.0, 7701394.0], [582795.0, 7701395.0], [582795.0, 7701396.0], [582795.0, 7701397.0], [582795.0, 7701398.0], [582795.0, 7701399.0], [582796.0, 7701400.0], [582796.0, 7701401.0], [582796.0, 7701402.0], [582796.0, 7701403.0], [582796.0, 7701404.0], [582795.0, 7701405.0], [582795.0, 7701406.0], [582795.0, 7701407.0], [582796.0, 7701408.0], [582796.0, 7701409.0], [582797.0, 7701410.0], [582798.0, 7701411.0], [582798.0, 7701412.0], [582798.0, 7701413.0], [582798.0, 7701414.0], [582798.0, 7701415.0], [582798.0, 7701416.0], [582798.0, 7701417.0], [582799.0, 7701418.0], [582799.0, 7701419.0], [582799.0, 7701420.0], [582799.0, 7701421.0], [582800.0, 7701422.0], [582801.0, 7701423.0], [582802.0, 7701423.0], [582803.0, 7701423.0], [582804.0, 7701423.0], [582805.0, 7701423.0], [582806.0, 7701423.0], [582807.0, 7701423.0]]",41.31370849898476,6.586191166271033,6.5614738078675225,0.2439280035516161,0.2195011473700774,0.8912429526628913,0.886548759555622,0.73,0.0
1082,1081,"[[582820.0, 7701430.0], [582821.0, 7701430.0], [582822.0, 7701429.0], [582823.0, 7701428.0], [582824.0, 7701427.0], [582825.0, 7701426.0]]",6.65685424949238,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0
1083,1082,"[[582825.0, 7701426.0], [582825.0, 7701425.0], [582825.0, 7701424.0], [582825.0, 7701423.0]]",3.0,6.684261246743831,6.684261246743831,0.13134166427238106,0.13134166427238106,0.8072668675575856,0.8072668675575856,0.5,0.0
1084,1079,"[[582799.0, 7701268.0], [582800.0, 7701268.0], [582801.0, 7701267.0], [582802.0, 7701266.0], [582803.0, 7701265.0], [582804.0, 7701265.0], [582805.0, 7701265.0], [582806.0, 7701264.0], [582807.0, 7701263.0], [582808.0, 7701263.0], [582809.0, 7701263.0], [582810.0, 7701263.0], [582811.0, 7701263.0], [582812.0, 7701263.0], [582813.0, 7701263.0], [582814.0, 7701262.0], [582815.0, 7701261.0], [582816.0, 7701261.0], [582817.0, 7701261.0], [582818.0, 7701260.0], [582819.0, 7701259.0], [582820.0, 7701258.0], [582821.0, 7701257.0], [582822.0, 7701257.0], [582823.0, 7701258.0], [582824.0, 7701258.0], [582825.0, 7701259.0], [582826.0, 7701259.0], [582827.0, 7701260.0], [582828.0, 7701261.0], [582828.0, 7701262.0], [582828.0, 7701263.0], [582829.0, 7701264.0]]",38.62741699796952,5.9885013843413795,5.397511898569508,0.11961186480030375,0.10823293968506884,0.8717526826589208,0.8768605024232681,0.52,0.0
1087,1082,"[[582825.0, 7701426.0], [582826.0, 7701427.0], [582827.0, 7701427.0], [582828.0, 7701428.0], [582829.0, 7701428.0], [582830.0, 7701428.0], [582831.0, 7701428.0], [582832.0, 7701428.0], [582833.0, 7701428.0], [582834.0, 7701428.0], [582835.0, 7701429.0], [582836.0, 7701429.0], [582837.0, 7701429.0], [582838.0, 7701429.0], [582839.0, 7701429.0], [582840.0, 7701429.0]]",16.242640687119284,4.916748112590095,5.062391055573373,0.1377929987954213,0.14917385794721838,0.8953561259109726,0.8912636264151577,0.71,0.0
1088,1086,"[[582831.0, 7701395.0], [582832.0, 7701395.0], [582833.0, 7701395.0], [582834.0, 7701395.0], [582835.0, 7701395.0], [582836.0, 7701394.0], [582837.0, 7701393.0], [582838.0, 7701392.0], [582839.0, 7701391.0], [582840.0, 7701390.0], [582841.0, 7701389.0]]",12.485281374238571,6.961124801543246,5.539053472230943,0.09732399606952419,0.0976895632337369,0.9118013834779554,0.9070225868356045,0.67,0.0
1088,1089,"[[582841.0, 7701389.0], [582842.0, 7701388.0], [582841.0, 7701387.0]]",2.8284271247461903,8.488678404536273,8.488678404536273,0.15890723184220443,0.15890723184220443,0.8876338723699937,0.8876338723699937,1.0,0.0
1092,1087,"[[582841.0, 7701428.0], [582842.0, 7701427.0], [582842.0, 7701426.0], [582842.0, 7701425.0], [582842.0, 7701424.0], [582842.0, 7701423.0], [582842.0, 7701422.0], [582842.0, 7701421.0], [582842.0, 7701420.0], [582842.0, 7701419.0], [582842.0, 7701418.0], [582841.0, 7701417.0], [582841.0, 7701416.0], [582841.0, 7701415.0], [582841.0, 7701414.0], [582841.0, 7701413.0], [582841.0, 7701412.0], [582841.0, 7701411.0], [582841.0, 7701410.0], [582841.0, 7701409.0], [582841.0, 7701408.0], [582842.0, 7701407.0], [582842.0, 7701406.0], [582843.0, 7701405.0], [582843.0, 7701404.0], [582843.0, 7701403.0], [582843.0, 7701402.0], [582844.0, 7701401.0], [582845.0, 7701400.0], [582846.0, 7701399.0], [582847.0, 7701398.0], [582848.0, 7701397.0]]",34.72792206135785,6.816326328477054,6.402039675862757,0.18528937880868973,0.16839690818372832,0.9017666594761632,0.9028476572621413,0.7,0.0
1092,1088,"[[582841.0, 7701389.0], [582842.0, 7701390.0], [582843.0, 7701391.0], [582843.0, 7701392.0], [582844.0, 7701393.0], [582845.0, 7701394.0], [582846.0, 7701395.0], [582847.0, 7701396.0], [582848.0, 7701397.0]]",10.899494936611667,8.467983487801591,8.374224220944111,0.12651647313095513,0.12607251413852696,0.9003672113207615,0.9063026677941821,0.43,0.0
1094,1085,"[[582830.0, 7701337.0], [582831.0, 7701337.0], [582832.0, 7701337.0], [582833.0, 7701337.0], [582834.0, 7701338.0], [582835.0, 7701338.0], [582836.0, 7701338.0], [582837.0, 7701338.0], [582838.0, 7701338.0], [582839.0, 7701338.0], [582840.0, 7701338.0], [582841.0, 7701337.0], [582842.0, 7701337.0], [582843.0, 7701337.0], [582844.0, 7701337.0], [582845.0, 7701337.0], [582846.0, 7701337.0], [582847.0, 7701337.0], [582848.0, 7701337.0], [582849.0, 7701338.0]]",20.242640687119287,4.730345742342683,4.66437582499119,0.11381065322695313,0.09350527877517413,0.8679853582579599,0.8806158550030698,0.44,0.0
